id,name,weight
808,Newoftheworldd,1
809,SocialCurrentcy,1
810,TomFlowers,1
811,POLITICOEurope,2
812,AsaFlynn_1984,1
813,ECONEWSN1,2
814,asier_guerrero,1
815,RedTRaccoon,1
816,Staircase2,1
817,londiloveu,1
818,USGovReport,1
819,ridewithmeobx,1
820,wbeebe4,1
821,jmassee,1
822,RittNancy,1
823,danhomick,1
824,markrehbein1,1
825,YourNewsEdge,1
826,D__TrumpNews,1
827,DeimosEskizo,1
828,Anthonyr323,1
829,trumpwatchapp,1
830,truth2beingfit,1
831,leesmileyman,1
832,SayNoToFakePrez,1
833,elmowuxx5,1
834,tyronewitten,1
835,SMARTOSLB,1
836,nohumanillegal,1
837,CHSGovPol,1
838,PKanagaratnam,1
839,WellDBell,1
840,TaraAngelique1,1
841,abbie_b_elliott,1
842,sum1star,1
843,CMMatthiessen,1
844,motai69,1
845,MarthaBucaram,1
846,YulREspinosa,1
847,_newarthill,1
848,g_mccray,1
849,courtchauncey,1
850,BoSnerdley,1
851,sanacardi,1
852,sryska,1
853,ProfKWright,1
854,FLover61,1
855,KRBCanada1,1
856,mary_breier,1
857,dougiepen,1
858,Rayforfreedom,1
859,idarknight,1
860,gstuedler,1
861,Cormier_press,1
862,margaretvmorris,1
863,SwifmailApp,1
864,ACrowdFunder,1
865,IbFitt,1
