id,name,weight
968,thurusinghe,1
969,trumprev,1
970,ubericana,1
971,tbm860,1
972,DaveKerr749,1
973,ocdred,1
974,karlmiller1776,1
975,1776_Freedom,1
976,rafawkes,1
977,urokiamok,2
978,jccross209,2
979,1spiritoftruth,1
980,Chirpinagin,5
981,Runcie,1
982,SMichelle1978,1
983,Whiskey_Dale,1
984,Grampy23,2
985,tomcatdad,1
986,IMGarret,1
987,mefbama,1
988,goatman42749,1
989,stella_rondo,2
990,Brad_Amsbaugh,1
991,scgenfan,1
992,topjimy8712,1
993,Rob_L_Szymanski,1
994,whomejenjen,1
995,ananya3959,1
996,RePUBStyle1,5
997,ajamazing,1
998,jeffreymayr,2
999,Prayforusa123,1
1000,Boogschutter10,1
1001,blondiebachus,1
1002,CurtSchweitzer,1
1003,jcrew756,2
1004,jensicilian,1
1005,crackenbob,1
1006,AkosScott,1
1007,KiwiChemFree,1
1008,4george2,1
1009,MasterAccurate,1
1010,burkem100,1
1011,MoBea,1
1012,AlietaEck,1
1013,HURRICANEPAUL,1
1014,mbkaminski,1
1015,JosephEach,1
1016,GStevenBarnett,1
1017,rmrodri2,1
1018,clwjr310,1
1019,astroterf,1
1020,MolenNewsMedia,1
1021,jennycreamale,2
1022,Giganticcards,1
1023,ebnNancy,1
1024,3dd2340705044db,1
1025,123_ALLONS_Y,1
1026,espinelli145,1
1027,r_senecatech,1
1028,am_pats,2
1029,hboome01,1
1030,mockingbird714,1
1031,Greyghostforest,1
1032,Raziela59,1
1033,shropsmile,1
1034,JustJoe91010,1
1035,apalmer001,1
1036,Rayatbragg,2
1037,FelineBengal,1
1038,texmexec,1
1039,CaptainIsraelP,1
1040,yvonnesita,1
1041,DeniseGordin,1
1042,snwwhit23,1
1043,MikeHarwell66,3
1044,1al,1
1045,azcybersmith,1
1046,sgt3,1
1047,1Bobnews,1
1048,patdowling,1
1049,MSmith1916,1
1050,TNPEP2,1
1051,SweetonBetty,1
1052,msmithinteract,1
1053,kearnsdilorenzo,1
1054,frbmcgrath,1
1055,maggiebouc,1
1056,Textplosion,1
1057,lizzieatfm,2
1058,suzienok,1
1059,TrodieTroy,1
1060,RSCAC,1
1061,RobertBarber64,1
1062,karalynnmorris,1
1063,blue_eyes_of_tn,1
1064,SavetheUSNation,1
1065,MessengerEngel,1
1066,Madcapbill,1
1067,Hughie72,1
1068,bbrown496,1
1069,Guardian_Elite,1
1070,jefcra,1
1071,loustweeting1,1
1072,Romans5verse5,1
1073,SchrankBj,1
1074,mfrakes55,1
1075,bugsysbak,1
1076,cher6119,1
1077,_RandomTweeter_,1
1078,luifer10,1
1079,lheyn55,1
1080,marleydf,1
1081,molly649,1
1082,DragonForce_One,1
1083,ellollshedid,1
